parent,child
285,1
285,1
732,1
732,1
276,1
276,1
693,1
693,1
721,1
721,1
434,1
434,1
1191,1
1191,1
1193,1
1193,1
1220,1
1220,1
1224,1
1224,1
1244,1
1244,1
1252,1
1252,1
1257,1
1257,1
1262,1
1262,1
1268,1
1268,1
1283,1
1283,1
120,10
120,10
302,10
302,10
118,10
118,10
119,10
119,10
74,10
74,10
99,10
99,10
20,10
20,10
680,10
680,10
733,10
733,10
697,10
697,10
120,100
120,100
119,100
119,100
131,100
131,100
129,100
129,100
805,100
805,100
19,100
19,100
680,100
680,100
120,100
120,100
119,100
119,100
131,100
131,100
129,100
129,100
805,100
805,100
19,100
19,100
680,100
680,100
97,101
97,101
74,101
74,101
20,101
20,101
713,101
713,101
97,101
97,101
74,101
74,101
20,101
20,101
713,101
713,101
1021,103
1021,103
693,107
693,107
648,107
648,107
330,112
330,112
326,112
326,112
521,112
521,112
330,112
330,112
326,112
326,112
521,112
521,112
404,125
404,125
770,125
770,125
404,125
404,125
770,125
770,125
404,125
404,125
770,125
770,125
22,126
22,126
22,126
22,126
424,127
424,127
425,127
425,127
288,127
288,127
285,127
285,127
732,127
732,127
276,127
276,127
693,127
693,127
721,127
721,127
353,13
353,13
285,13
285,13
302,13
302,13
74,13
74,13
15,13
15,13
73,13
73,13
20,13
20,13
200,13
200,13
353,13
353,13
285,13
285,13
302,13
302,13
74,13
74,13
15,13
15,13
73,13
73,13
20,13
20,13
200,13
200,13
353,13
353,13
285,13
285,13
302,13
302,13
74,13
74,13
15,13
15,13
73,13
73,13
20,13
20,13
200,13
200,13
770,130
770,130
404,130
404,130
404,131
404,131
59,132
59,132
134,135
134,135
20,135
20,135
74,135
74,135
133,135
133,135
77,136
77,136
90,136
90,136
20,136
20,136
77,136
77,136
90,136
90,136
20,136
20,136
348,141
348,141
345,141
345,141
349,141
349,141
346,141
346,141
441,141
441,141
345,148
345,148
345,148
345,148
552,150
552,150
1239,150
1239,150
1258,150
1258,150
1266,150
1266,150
1272,150
1272,150
311,158
311,158
706,159
706,159
212,168
212,168
69,168
69,168
200,169
200,169
732,17
732,17
285,17
285,17
272,17
272,17
59,17
59,17
282,17
282,17
275,17
275,17
264,17
264,17
270,17
270,17
693,17
693,17
15,176
15,176
1233,176
1233,176
1234,176
1234,176
706,177
706,177
494,185
494,185
494,185
494,185
494,187
494,187
284,19
284,19
798,191
798,191
15,203
15,203
732,206
732,206
290,21
290,21
302,21
302,21
346,21
346,21
539,21
539,21
6,21
6,21
384,21
384,21
664,21
664,21
602,21
602,21
642,21
642,21
269,233
269,233
1264,233
1264,233
732,234
732,234
648,234
648,234
99,240
99,240
94,242
94,242
77,248
77,248
829,251
829,251
117,268
117,268
15,270
15,270
200,292
200,292
200,292
200,292
200,295
200,295
270,30
270,30
200,300
200,300
200,309
200,309
200,309
200,309
200,312
200,312
113,34
113,34
697,34
697,34
707,34
707,34
713,34
713,34
74,34
74,34
113,34
113,34
697,34
697,34
707,34
707,34
713,34
713,34
74,34
74,34
226,37
226,37
311,37
311,37
525,37
525,37
312,37
312,37
314,37
314,37
315,37
315,37
318,37
318,37
1239,37
1239,37
1258,37
1258,37
1266,37
1266,37
1272,37
1272,37
1278,37
1278,37
426,38
426,38
427,38
427,38
1269,439
1269,439
1269,439
1269,439
1269,439
1269,439
327,459
327,459
295,459
295,459
290,459
290,459
88,460
88,460
147,460
147,460
235,460
235,460
770,469
770,469
772,469
772,469
770,469
770,469
772,469
772,469
427,471
427,471
427,471
427,471
427,471
427,471
284,478
284,478
284,478
284,478
284,479
284,479
770,482
770,482
770,482
770,482
770,486
770,486
770,488
770,488
770,489
770,489
521,49
521,49
262,49
262,49
263,49
263,49
257,49
257,49
654,49
654,49
307,49
307,49
308,49
308,49
309,49
309,49
770,490
770,490
400,492
400,492
200,497
200,497
522,509
522,509
308,509
308,509
309,509
309,509
294,509
294,509
263,509
263,509
262,509
262,509
521,509
521,509
158,52
158,52
172,52
172,52
173,52
173,52
171,52
171,52
74,52
74,52
20,52
20,52
697,52
697,52
707,52
707,52
158,52
158,52
172,52
172,52
173,52
173,52
171,52
171,52
74,52
74,52
20,52
20,52
697,52
697,52
707,52
707,52
770,528
770,528
1239,545
1239,545
1243,545
1243,545
1258,545
1258,545
1266,545
1266,545
1272,545
1272,545
1278,545
1278,545
261,55
261,55
521,55
521,55
262,55
262,55
263,55
263,55
654,55
654,55
719,55
719,55
916,55
916,55
308,55
308,55
309,55
309,55
284,550
284,550
284,550
284,550
284,550
284,550
284,550
284,550
284,550
284,550
284,551
284,551
522,551
522,551
284,551
284,551
522,551
522,551
284,551
284,551
522,551
522,551
284,551
284,551
522,551
522,551
284,551
284,551
522,551
522,551
284,552
284,552
284,552
284,552
284,552
284,552
522,555
522,555
308,555
308,555
309,555
309,555
294,555
294,555
263,555
263,555
262,555
262,555
521,555
521,555
522,555
522,555
308,555
308,555
309,555
309,555
294,555
294,555
263,555
263,555
262,555
262,555
521,555
521,555
522,555
522,555
308,555
308,555
309,555
309,555
294,555
294,555
263,555
263,555
262,555
