ID,Name,Severity
1,Accessing Functionality Not Properly Constrained by ACLs,High
100,Overflow Buffers,Very High
10,Buffer Overflow via Environment Variables,High
123,Buffer Manipulation,Very High
253,Remote Code Inclusion,
101,Server Side Include (SSI) Injection,High
593,Session Hijacking,Very High
102,Session Sidejacking,High
173,Action Spoofing,Very High
103,Clickjacking,High
233,Privilege Escalation,
104,Cross Zone Scripting,High
220,Client-Server Protocol Manipulation,Medium
105,HTTP Request Splitting,High
107,Cross Site Tracing,Very High
66,SQL Injection,High
108,Command Line Execution through SQL Injection,Very High
109,Object Relational Mapping Injection,High
635,Alternative Execution Due to Deceptive Filenames,High
11,Cause Web Server Misclassification,High
110,SQL Injection through SOAP Parameter Tampering,Very High
212,Functionality Misuse,Medium
111,JSON Hijacking (aka JavaScript Hijacking),High
216,Communication Channel Manipulation,
12,Choosing Message Identifier,High
267,Leverage Alternate Encoding,High
120,Double Encoding,Medium
113,API Manipulation,Medium
121,Exploit Non-Production Interfaces,High
153,Input Data Manipulation,Medium
126,Path Traversal,Very High
54,Query System for Information,Low
127,Directory Indexing,Medium
128,Integer Attacks,Medium
77,Manipulating User-Controlled Variables,Very High
13,Subverting Environment Variable Values,Very High
159,Redirect Access to Libraries,Very High
132,Symlink Attack,High
133,Try All Common Switches,Medium
137,Parameter Injection,Medium
134,Email Injection,Medium
135,Format String Injection,High
248,Command Injection,High
136,LDAP Injection,High
138,Reflection Injection,Very High
139,Relative Path Traversal,High
14,Client-side Injection-induced Buffer Overflow,High
74,Manipulating State,High
140,Bypassing of Intermediate Forms in Multiple-Form Sets,Medium
161,Infrastructure Manipulation,High
141,Cache Poisoning,High
142,DNS Cache Poisoning,High
150,Collect Data from Common Resource Locations,Medium
143,Detect Unpublicized Web Pages,Low
144,Detect Unpublicized Web Services,Low
148,Content Spoofing,Medium
145,Checksum Spoofing,Medium
271,Schema Poisoning,High
146,XML Schema Poisoning,High
528,XML Flood,Medium
147,XML Ping of the Death,Medium
497,File Discovery,Very Low
149,Explore for Predictable Temporary File Names,Medium
15,Command Delimiters,High
116,Excavation,Medium
155,Screen Temporary Files for Sensitive Information,Medium
117,Interception,Medium
157,Sniffing Attacks,Medium
158,Sniffing Network Traffic,Medium
154,Resource Location Spoofing,Medium
49,Password Brute Forcing,High
16,Dictionary-based Password Attack,High
160,Exploit Script-Based APIs,Medium
162,Manipulating Hidden Fields,High
98,Phishing,Very High
163,Spear Phishing,High
164,Mobile Phishing,High
166,Force the System to Reset Values,Medium
188,Reverse Engineering,Low
167,White Box Reverse Engineering,Medium
636,Hiding Malicious Data or Code within Files,High
168,Windows ::DATA Alternate Data Stream,Medium
17,Using Malicious Files,Very High
165,File Manipulation,Medium
541,Application Fingerprinting,Low
170,Web Application Fingerprinting,Low
182,Flash Injection,Medium
174,Flash Parameter Injection,Medium
177,Create files with the same name as files protected with a higher classification,Very High
178,Cross-Site Flashing,Medium
554,Functionality Bypass,High
179,Calling Micro-Services Directly,Medium
591,Reflected XSS,Very High
18,XSS Targeting Non-Script Elements,Very High
592,Stored XSS,Very High
588,DOM-Based XSS,Very High
122,Privilege Abuse,Medium
180,Exploiting Incorrectly Configured Access Control Security Levels,Medium
181,Flash File Overlay,Medium
183,IMAP/SMTP Command Injection,Medium
184,Software Integrity Attack,Low
185,Malicious Software Download,Very High
186,Malicious Software Update,High
187,Malicious Automated Software Update,High
189,Black Box Reverse Engineering,Low
242,Code Injection,High
19,Embedding Scripts within Scripts,High
190,Reverse Engineer an Executable to Expose Assumed Hidden Functionality,Low
191,Read Sensitive Constants Within an Executable,Low
193,PHP Remote File Inclusion,High
151,Identity Spoofing,Medium
194,Fake the Source of Data,Medium
195,Principal Spoof,Medium
21,Exploitation of Trusted Identifiers,High
196,Session Credential Falsification through Forging,Medium
230,XML Nested Payloads,High
197,XML Entity Expansion,Medium
198,XSS Targeting Error Pages,Medium
199,XSS Using Alternate Syntax,High
2,Inducing Account Lockout,Medium
112,Brute Force,High
20,Encryption Brute Forcing,Low
207,Removing Important Client Functionality,High
200,"Removal of filters: Input filters, output filters, data masking",Medium
231,Oversized Serialized Data Payloads,High
201,Serialized Data External Linking,High
278,Web Services Protocol Manipulation,
22,Exploiting Trust in Client,High
202,Create Malicious Client,Medium
176,Configuration/Environment Manipulation,Medium
203,Manipulate Registry Information,Medium
204,Lifting Sensitive Data Embedded in Cache,Medium
68,Subvert Code-signing Facilities,Very High
206,Signing Malicious Code,Very High
208,Removing/short-circuiting 'Purse' logic: removing/mutating 'cash' decrements,Medium
209,XSS Using MIME Type Mismatch,Medium
214,"Fuzzing for garnering J2EE/.NET-based stack traces, for application mapping",Low
215,Fuzzing and observing application log data/errors for application mapping,Low
217,Exploiting Incorrectly Configured SSL,
218,Spoofing of UDDI/ebXML Messages,Medium
94,Man in the Middle Attack,Very High
219,XML Routing Detour Attacks,Medium
272,Protocol Manipulation,Medium
221,Data Serialization External Entities Blowup,
222,iFrame Overlay,High
226,Session Credential Falsification through Manipulation,Medium
250,XML Injection,
228,DTD Injection,Medium
229,Serialized Data Parameter Blowup,High
23,File Content Injection,Very High
130,Excessive Allocation,Medium
234,Hijacking a privileged process,Medium
30,Hijacking a Privileged Thread of Execution,Very High
236,Catching exception throw/signal from privileged block,Very High
237,Escaping a Sandbox by Calling Signed Code in Another Language,Very High
480,Escaping Virtualization,Very High
24,Filter Failure through Buffer Overflow,High
243,XSS Targeting HTML Attributes,Medium
244,XSS Targeting URI Placeholders,High
245,XSS Using Doubled Characters,Medium
247,XSS Using Invalid Characters,Medium
175,Code Inclusion,Very High
251,Local Code Inclusion,Medium
252,PHP Local File Inclusion,Medium
256,SOAP Array Overflow,High
261,Fuzzing for garnering other adjacent user/sensitive data,Medium
263,Force Use of Corrupted Files,Medium
268,Audit Log Manipulation,
29,Leveraging Time-of-Check and Time-of-Use (TOCTOU) Race Conditions,High
27,Leveraging Race Conditions via Symbolic Links,High
270,Modification of Registry Run Keys,Medium
273,HTTP Response Smuggling,Medium
274,HTTP Verb Tampering,Medium
275,DNS Rebinding,Very High
276,Inter-component Protocol Manipulation,
277,Data Interchange Protocol Manipulation,
279,SOAP Manipulation,High
292,Host Discovery,Low
285,ICMP Echo Request Ping,Low
300,Port Scanning,Low
287,TCP SYN Scan,Low
26,Leveraging Race Conditions,High
309,Network Topology Mapping,Low
290,Enumerate Mail Exchange (MX) Records,Low
291,DNS Zone Transfers,Low
169,Footprinting,Very Low
293,Traceroute Route Enumeration,Low
294,ICMP Address Mask Request,Low
295,Timestamp Request,Low
296,ICMP Information Request,Low
297,TCP ACK Ping,Low
298,UDP Ping,Low
299,TCP SYN Ping,Low
3,Using Leading 'Ghost' Character Sequences to Bypass Input Filters,Medium
301,TCP Connect Scan,Low
302,TCP FIN Scan,Low
303,TCP Xmas Scan,Low
304,TCP Null Scan,Low
305,TCP ACK Scan,Low
306,TCP Window Scan,Low
307,TCP RPC Scan,Low
308,UDP Scan,Low
39,Manipulating Opaque Client-based Data Tokens,Medium
31,Accessing/Intercepting/Modifying HTTP Cookies,High
310,Scanning for Vulnerable Software,Low
224,Fingerprinting,Very Low
312,Active OS Fingerprinting,Low
